"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Azerbaijan","Austria","Hombres","14 a 17",5,15,20,0.4102
"Bangladesh","Austria","Hombres","14 a 17",0,10,10,0.2429
"Bosnia y Herzegovina","Austria","Hombres","14 a 17",0,10,10,0.092
"China (incluye Hong Kong)","Austria","Hombres","14 a 17",5,5,10,0.508
"Gambia","Austria","Hombres","14 a 17",0,50,50,0.3747
"Georgia","Austria","Hombres","14 a 17",10,60,70,0.1008
"Guinea","Austria","Hombres","14 a 17",0,15,15,0.5851
"Guinea-Bissau","Austria","Hombres","14 a 17",0,20,20,0.4143
"India","Austria","Hombres","14 a 17",0,40,40,0.0703
"Irán","Austria","Hombres","14 a 17",45,35,80,0.7924
"Iraq","Austria","Hombres","14 a 17",85,25,110,0.8458
"Kosovo","Austria","Hombres","14 a 17",5,80,85,0.1602
"Kyrgyzstan","Austria","Hombres","14 a 17",0,10,10,0.2742
"Líbano","Austria","Hombres","14 a 17",0,5,5,0.2408
"Liberia","Austria","Hombres","14 a 17",0,10,10,0.363
"Macedonia","Austria","Hombres","14 a 17",0,20,20,0.0157
"Marruecos","Austria","Hombres","14 a 17",0,110,110,0.1881
"Moldavia","Austria","Hombres","14 a 17",0,75,75,0.0908
"Mongolia","Austria","Hombres","14 a 17",0,40,40,0.1007
"Nigeria","Austria","Hombres","14 a 17",0,185,185,0.2801
"Pakistán","Austria","Hombres","14 a 17",0,75,75,0.3945
"Rusia","Austria","Hombres","14 a 17",85,340,425,0.422
"Senegal","Austria","Hombres","14 a 17",0,5,5,0.4047
"Serbia","Austria","Hombres","14 a 17",5,75,80,0.0766
"Sierra Leona","Austria","Hombres","14 a 17",0,5,5,0.5478
"Siria","Austria","Hombres","14 a 17",75,40,115,0.9605
"Somalia","Austria","Hombres","14 a 17",90,65,155,0.8813
"Túnez","Austria","Hombres","14 a 17",0,5,5,0.0954
"Turquía","Austria","Hombres","14 a 17",15,20,35,0.3975
"Ucrania","Austria","Hombres","14 a 17",0,10,10,0.2191
"Afganistán","Bélgica","Hombres","14 a 17",960,430,1390,0.7626
"Albania","Bélgica","Hombres","14 a 17",40,120,160,0.2192
"Algeria","Bélgica","Hombres","14 a 17",0,5,5,0.1335
"Angola","Bélgica","Hombres","14 a 17",0,30,30,0.3618
"Armenia","Bélgica","Hombres","14 a 17",0,155,155,0.1967
"Azerbaijan","Bélgica","Hombres","14 a 17",0,20,20,0.3931
"Bangladesh","Bélgica","Hombres","14 a 17",0,15,15,0.23
"Bosnia y Herzegovina","Bélgica","Hombres","14 a 17",0,45,45,0.0863
"Bulgaria","Bélgica","Hombres","14 a 17",0,10,10,0
"Burundi","Bélgica","Hombres","14 a 17",0,5,5,0.6185
"Camerún","Bélgica","Hombres","14 a 17",0,20,20,0.4713
"China (incluye Hong Kong)","Bélgica","Hombres","14 a 17",15,0,15,0.4902
"Desconocido","Bélgica","Hombres","14 a 17",20,10,30,0.5957
"Djibouti","Bélgica","Hombres","14 a 17",5,5,10,0.637
"Eritrea","Bélgica","Hombres","14 a 17",10,0,10,0.9221
"Eslovaquia","Bélgica","Hombres","14 a 17",0,40,40,0
"Etiopía","Bélgica","Hombres","14 a 17",0,5,5,0.6375
"Georgia","Bélgica","Hombres","14 a 17",0,40,40,0.0945
"Ghana","Bélgica","Hombres","14 a 17",0,20,20,0.3601
"Guinea","Bélgica","Hombres","14 a 17",100,205,305,0.5677
"Hungría","Bélgica","Hombres","14 a 17",0,5,5,0
"India","Bélgica","Hombres","14 a 17",0,25,25,0.0658
"Irán","Bélgica","Hombres","14 a 17",15,60,75,0.7805
"Iraq","Bélgica","Hombres","14 a 17",90,60,150,0.8363
"Kazakhstan","Bélgica","Hombres","14 a 17",0,10,10,0.2366
"Kosovo","Bélgica","Hombres","14 a 17",25,250,275,0.1509
"Kyrgyzstan","Bélgica","Hombres","14 a 17",0,10,10,0.2603
"Líbano","Bélgica","Hombres","14 a 17",0,20,20,0.2281
"Libia","Bélgica","Hombres","14 a 17",5,0,5,0.5553
"Macedonia","Bélgica","Hombres","14 a 17",0,115,115,0.0146
"Mauritania","Bélgica","Hombres","14 a 17",5,0,5,0.4173
"Moldavia","Bélgica","Hombres","14 a 17",0,5,5,0.0851
"Montenegro","Bélgica","Hombres","14 a 17",0,5,5,0.0338
"Nigeria","Bélgica","Hombres","14 a 17",0,5,5,0.2659
"Pakistán","Bélgica","Hombres","14 a 17",5,45,50,0.3777
"Rep. Dem. Congo","Bélgica","Hombres","14 a 17",30,90,120,0.4506
"República Checa","Bélgica","Hombres","14 a 17",0,15,15,0
"Ruanda","Bélgica","Hombres","14 a 17",35,20,55,0.6874
"Rumanía","Bélgica","Hombres","14 a 17",0,10,10,0.0354
"Rusia","Bélgica","Hombres","14 a 17",65,295,360,0.4047
"Senegal","Bélgica","Hombres","14 a 17",5,0,5,0.3877
"Serbia","Bélgica","Hombres","14 a 17",25,240,265,0.0717
"Sierra Leona","Bélgica","Hombres","14 a 17",0,5,5,0.5301
"Siria","Bélgica","Hombres","14 a 17",100,5,105,0.9577
"Somalia","Bélgica","Hombres","14 a 17",35,40,75,0.8736
"Sri Lanka","Bélgica","Hombres","14 a 17",15,0,15,0.6004
"Togo","Bélgica","Hombres","14 a 17",0,5,5,0.4147
"Turquía","Bélgica","Hombres","14 a 17",15,30,45,0.3806
"Afganistán","Bulgaria","Hombres","14 a 17",5,30,35,0.8264
"Apátrida","Bulgaria","Hombres","14 a 17",45,0,45,0.917
"Armenia","Bulgaria","Hombres","14 a 17",0,5,5,0.2663
"Congo","Bulgaria","Hombres","14 a 17",0,5,5,0.5595
"Costa de Marfil","Bulgaria","Hombres","14 a 17",0,5,5,0.5866
"Ghana","Bulgaria","Hombres","14 a 17",0,5,5,0.4547
"Iraq","Bulgaria","Hombres","14 a 17",35,25,60,0.8833
"Mali","Bulgaria","Hombres","14 a 17",0,10,10,0.6716
"Siria","Bulgaria","Hombres","14 a 17",370,5,375,0.971
"Georgia","Chipre","Hombres","14 a 17",0,5,5,0.0424
"Iraq","Chipre","Hombres","14 a 17",10,10,20,0.6842
"Israel","Chipre","Hombres","14 a 17",0,5,5,0.0312
"Nigeria","Chipre","Hombres","14 a 17",0,5,5,0.1332
"Palestina","Chipre","Hombres","14 a 17",30,5,35,0.7208
"Siria","Chipre","Hombres","14 a 17",35,15,50,0.9057
"Somalia","Chipre","Hombres","14 a 17",5,0,5,0.7458
"Yemen","Chipre","Hombres","14 a 17",0,5,5,0.4798
"Afganistán","Dinamarca","Hombres","14 a 17",410,280,690,0.6978
"Albania","Dinamarca","Hombres","14 a 17",0,5,5,0.1679
"Algeria","Dinamarca","Hombres","14 a 17",0,20,20,0.0997
"Apátrida","Dinamarca","Hombres","14 a 17",55,5,60,0.8427
"Armenia","Dinamarca","Hombres","14 a 17",0,5,5,0.1497
"Bielorrusia","Dinamarca","Hombres","14 a 17",0,5,5,0.2997
"Bosnia y Herzegovina","Dinamarca","Hombres","14 a 17",0,10,10,0.0635
"Eritrea","Dinamarca","Hombres","14 a 17",15,0,15,0.8948
"Irán","Dinamarca","Hombres","14 a 17",55,35,90,0.7187
"Iraq","Dinamarca","Hombres","14 a 17",10,10,20,0.7859
"Kosovo","Dinamarca","Hombres","14 a 17",0,10,10,0.1132
"Libia","Dinamarca","Hombres","14 a 17",0,5,5,0.473
"Marruecos","Dinamarca","Hombres","14 a 17",0,20,20,0.1343
"Rusia","Dinamarca","Hombres","14 a 17",10,35,45,0.3282
"Serbia","Dinamarca","Hombres","14 a 17",0,55,55,0.0526
"Siria","Dinamarca","Hombres","14 a 17",185,25,210,0.9421
"Somalia","Dinamarca","Hombres","14 a 17",25,5,30,0.8325
"Sri Lanka","Dinamarca","Hombres","14 a 17",0,5,5,0.5192
"Uganda","Dinamarca","Hombres","14 a 17",5,5,10,0.6347
"Afganistán","Eslovaquia","Hombres","14 a 17",15,15,30,0.842
"Moldavia","Eslovaquia","Hombres","14 a 17",0,15,15,0.1336
"Pakistán","Eslovaquia","Hombres","14 a 17",0,15,15,0.5017
"Afganistán","Eslovenia","Hombres","14 a 17",10,30,40,0.3731
"Algeria","Eslovenia","Hombres","14 a 17",0,5,5,0.0277
"Irán","Eslovenia","Hombres","14 a 17",0,5,5,0.3971
"Nigeria","Eslovenia","Hombres","14 a 17",0,5,5,0.0629
"Palestina","Eslovenia","Hombres","14 a 17",0,5,5,0.5299
"Siria","Eslovenia","Hombres","14 a 17",0,10,10,0.8074
"Somalia","Eslovenia","Hombres","14 a 17",5,0,5,0.5616
"Afganistán","España","Hombres","14 a 17",5,0,5,0.665
"Azerbaijan","España","Hombres","14 a 17",0,5,5,0.2858
"Colombia","España","Hombres","14 a 17",5,105,110,0.2401
"Cuba","España","Hombres","14 a 17",15,0,15,0.7544
"Ghana","España","Hombres","14 a 17",0,5,5,0.258
"Pakistán","España","Hombres","14 a 17",10,0,10,0.2727
"Palestina","España","Hombres","14 a 17",25,0,25,0.7899
"Rep. Dem. Congo","España","Hombres","14 a 17",0,5,5,0.3363
"Rusia","España","Hombres","14 a 17",0,5,5,0.2958
"Sahara Occidental","España","Hombres","14 a 17",0,5,5,0.5173
"Siria","España","Hombres","14 a 17",40,0,40,0.9332
"Somalia","España","Hombres","14 a 17",15,5,20,0.8103
"Sudán","España","Hombres","14 a 17",0,5,5,0.6612
"Afganistán","Finlandia","Hombres","14 a 17",145,40,185,0.7936
"Angola","Finlandia","Hombres","14 a 17",10,0,10,0.4042
"Bosnia y Herzegovina","Finlandia","Hombres","14 a 17",0,5,5,0.1015
"Bulgaria","Finlandia","Hombres","14 a 17",0,25,25,0
"Ghana","Finlandia","Hombres","14 a 17",10,0,10,0.4025
"Irán","Finlandia","Hombres","14 a 17",15,10,25,0.8097
"Iraq","Finlandia","Hombres","14 a 17",180,45,225,0.8594
"Kosovo","Finlandia","Hombres","14 a 17",0,15,15,0.1754
"Macedonia","Finlandia","Hombres","14 a 17",0,5,5,0.0174
"Marruecos","Finlandia","Hombres","14 a 17",0,5,5,0.2053
"Rep. Dem. Congo","Finlandia","Hombres","14 a 17",5,0,5,0.4954
"Rusia","Finlandia","Hombres","14 a 17",10,20,30,0.4487
"Serbia","Finlandia","Hombres","14 a 17",0,5,5,0.0847
"Siria","Finlandia","Hombres","14 a 17",15,0,15,0.9644
"Somalia","Finlandia","Hombres","14 a 17",245,140,385,0.8922
"Turquía","Finlandia","Hombres","14 a 17",0,10,10,0.4238
"Afganistán","Francia","Hombres","14 a 17",50,40,90,0.7153
"Albania","Francia","Hombres","14 a 17",35,295,330,0.1801
"Algeria","Francia","Hombres","14 a 17",10,30,40,0.1075
"Angola","Francia","Hombres","14 a 17",15,55,70,0.3072
"Armenia","Francia","Hombres","14 a 17",25,285,310,0.1608
"Azerbaijan","Francia","Hombres","14 a 17",15,55,70,0.3362
"Bangladesh","Francia","Hombres","14 a 17",5,15,20,0.1894
"Bielorrusia","Francia","Hombres","14 a 17",0,5,5,0.3178
"Bosnia y Herzegovina","Francia","Hombres","14 a 17",15,65,80,0.0688
"Chad","Francia","Hombres","14 a 17",10,20,30,0.4679
"China (incluye Hong Kong)","Francia","Hombres","14 a 17",40,35,75,0.4293
"Comoras","Francia","Hombres","14 a 17",20,10,30,0.3058
"Congo","Francia","Hombres","14 a 17",15,10,25,0.4014
"Costa de Marfil","Francia","Hombres","14 a 17",15,15,30,0.4283
"Djibouti","Francia","Hombres","14 a 17",0,5,5,0.5785
"Egipto","Francia","Hombres","14 a 17",10,5,15,0.4105
"Eritrea","Francia","Hombres","14 a 17",5,0,5,0.9025
"Georgia","Francia","Hombres","14 a 17",20,150,170,0.0755
"Guinea","Francia","Hombres","14 a 17",40,35,75,0.5067
"Guinea-Bissau","Francia","Hombres","14 a 17",10,0,10,0.34
"Haití","Francia","Hombres","14 a 17",30,5,35,0.2407
"Irán","Francia","Hombres","14 a 17",5,5,10,0.7355
"Iraq","Francia","Hombres","14 a 17",35,5,40,0.7998
"Kazakhstan","Francia","Hombres","14 a 17",0,10,10,0.1951
"Kosovo","Francia","Hombres","14 a 17",40,375,415,0.122
"Líbano","Francia","Hombres","14 a 17",0,5,5,0.1877
"Macedonia","Francia","Hombres","14 a 17",0,60,60,0.0115
"Madagascar","Francia","Hombres","14 a 17",5,0,5,0.2072
"Mali","Francia","Hombres","14 a 17",15,15,30,0.5192
"Mauritania","Francia","Hombres","14 a 17",50,5,55,0.3591
"Moldavia","Francia","Hombres","14 a 17",0,5,5,0.0678
"Mongolia","Francia","Hombres","14 a 17",0,10,10,0.0754
"Montenegro","Francia","Hombres","14 a 17",0,30,30,0.0266
"Nigeria","Francia","Hombres","14 a 17",0,10,10,0.2208
"Pakistán","Francia","Hombres","14 a 17",5,10,15,0.3219
"Palestina","Francia","Hombres","14 a 17",5,0,5,0.8264
"Rep. Dem. Congo","Francia","Hombres","14 a 17",210,220,430,0.3908
"República Centroafricana","Francia","Hombres","14 a 17",10,0,10,0.8229
"Ruanda","Francia","Hombres","14 a 17",40,0,40,0.6323
"Rusia","Francia","Hombres","14 a 17",135,385,520,0.3472
"Senegal","Francia","Hombres","14 a 17",5,0,5,0.3312
"Serbia","Francia","Hombres","14 a 17",30,60,90,0.057
"Siria","Francia","Hombres","14 a 17",85,0,85,0.9465
"Somalia","Francia","Hombres","14 a 17",25,5,30,0.8439
"Sri Lanka","Francia","Hombres","14 a 17",130,35,165,0.5403
"Sudán","Francia","Hombres","14 a 17",10,10,20,0.7119
"Turquía","Francia","Hombres","14 a 17",5,70,75,0.3246
"Ucrania","Francia","Hombres","14 a 17",0,5,5,0.1697
"Afganistán","Grecia","Hombres","14 a 17",80,570,650,0.1908
"Albania","Grecia","Hombres","14 a 17",0,80,80,0.0202
"Apátrida","Grecia","Hombres","14 a 17",0,10,10,0.3535
"Bangladesh","Grecia","Hombres","14 a 17",5,205,210,0.0214
"Camerún","Grecia","Hombres","14 a 17",0,5,5,0.0614
"Congo","Grecia","Hombres","14 a 17",0,5,5,0.0592
"Costa de Marfil","Grecia","Hombres","14 a 17",0,5,5,0.0657
"Desconocido","Grecia","Hombres","14 a 17",0,5,5,0.0976
"Egipto","Grecia","Hombres","14 a 17",0,20,20,0.0613
"Gambia","Grecia","Hombres","14 a 17",0,5,5,0.0393
"Georgia","Grecia","Hombres","14 a 17",0,45,45,0.0076
"Ghana","Grecia","Hombres","14 a 17",0,10,10,0.0397
"Guinea","Grecia","Hombres","14 a 17",5,30,35,0.0879
"India","Grecia","Hombres","14 a 17",0,10,10,0.0051
"Irán","Grecia","Hombres","14 a 17",0,20,20,0.2069
"Iraq","Grecia","Hombres","14 a 17",0,85,85,0.2726
"Mali","Grecia","Hombres","14 a 17",0,5,5,0.092
"Nigeria","Grecia","Hombres","14 a 17",0,60,60,0.0259
"Pakistán","Grecia","Hombres","14 a 17",45,830,875,0.0426
"Rep. Dem. Congo","Grecia","Hombres","14 a 17",5,5,10,0.0568
"Senegal","Grecia","Hombres","14 a 17",0,20,20,0.0444
"Sierra Leona","Grecia","Hombres","14 a 17",0,5,5,0.0764
"Siria","Grecia","Hombres","14 a 17",30,110,140,0.6241
"Somalia","Grecia","Hombres","14 a 17",5,10,15,0.3365
"Sudán","Grecia","Hombres","14 a 17",0,10,10,0.1882
"Afganistán","Holanda","Hombres","14 a 17",505,955,1460,0.766
"Algeria","Holanda","Hombres","14 a 17",0,10,10,0.1357
"Angola","Holanda","Hombres","14 a 17",0,15,15,0.3661
"Apátrida","Holanda","Hombres","14 a 17",75,10,85,0.8836
"Armenia","Holanda","Hombres","14 a 17",15,80,95,0.1997
"Azerbaijan","Holanda","Hombres","14 a 17",0,35,35,0.3976
"Bangladesh","Holanda","Hombres","14 a 17",0,10,10,0.2334
"Benin","Holanda","Hombres","14 a 17",0,10,10,0.2683
"Bhutan","Holanda","Hombres","14 a 17",5,0,5,0.8069
"Bielorrusia","Holanda","Hombres","14 a 17",0,25,25,0.3777
"Bosnia y Herzegovina","Holanda","Hombres","14 a 17",0,15,15,0.0878
"Burkina Faso","Holanda","Hombres","14 a 17",0,5,5,0.3621
"Burundi","Holanda","Hombres","14 a 17",20,0,20,0.6229
"Camerún","Holanda","Hombres","14 a 17",0,5,5,0.476
"China (incluye Hong Kong)","Holanda","Hombres","14 a 17",25,35,60,0.495
"Congo","Holanda","Hombres","14 a 17",15,10,25,0.4662
"Costa de Marfil","Holanda","Hombres","14 a 17",15,10,25,0.4939
"Desconocido","Holanda","Hombres","14 a 17",30,35,65,0.6003
"Egipto","Holanda","Hombres","14 a 17",0,5,5,0.4757
"Eritrea","Holanda","Hombres","14 a 17",515,40,555,0.9235
"Etiopía","Holanda","Hombres","14 a 17",10,10,20,0.6418
"Gambia","Holanda","Hombres","14 a 17",0,10,10,0.3625
"Georgia","Holanda","Hombres","14 a 17",0,30,30,0.0962
"Ghana","Holanda","Hombres","14 a 17",0,10,10,0.3645
"Guinea","Holanda","Hombres","14 a 17",20,80,100,0.5723
"India","Holanda","Hombres","14 a 17",0,10,10,0.0669
"Irán","Holanda","Hombres","14 a 17",80,75,155,0.7837
"Iraq","Holanda","Hombres","14 a 17",325,240,565,0.8388
"Kosovo","Holanda","Hombres","14 a 17",0,5,5,0.1533
"Macedonia","Holanda","Hombres","14 a 17",0,25,25,0.0149
"Mali","Holanda","Hombres","14 a 17",0,15,15,0.5845
"Marruecos","Holanda","Hombres","14 a 17",0,15,15,0.1803
"Mongolia","Holanda","Hombres","14 a 17",0,20,20,0.0961
"Myanmar/Burma","Holanda","Hombres","14 a 17",20,0,20,0.8376
"Nepal","Holanda","Hombres","14 a 17",10,0,10,0.3048
"Nigeria","Holanda","Hombres","14 a 17",0,25,25,0.2696
"Pakistán","Holanda","Hombres","14 a 17",0,20,20,0.3821
"Palestina","Holanda","Hombres","14 a 17",5,0,5,0.8611
"Rep. Dem. Congo","Holanda","Hombres","14 a 17",15,0,15,0.4553
"Rusia","Holanda","Hombres","14 a 17",0,70,70,0.4093
"Serbia","Holanda","Hombres","14 a 17",0,25,25,0.073
"Sierra Leona","Holanda","Hombres","14 a 17",20,20,40,0.5348
"Siria","Holanda","Hombres","14 a 17",240,20,260,0.9584
"Somalia","Holanda","Hombres","14 a 17",835,285,1120,0.8757
"Sri Lanka","Holanda","Hombres","14 a 17",20,20,40,0.6049
"Sudán","Holanda","Hombres","14 a 17",10,25,35,0.763
"Turquía","Holanda","Hombres","14 a 17",0,10,10,0.385
"Ucrania","Holanda","Hombres","14 a 17",0,5,5,0.2103
"Vietnam","Holanda","Hombres","14 a 17",0,5,5,0.1794
"Yemen","Holanda","Hombres","14 a 17",0,5,5,0.689
"Afganistán","Hungría","Hombres","14 a 17",115,50,165,0.5936
"Algeria","Hungría","Hombres","14 a 17",0,10,10,0.0654
"Bangladesh","Hungría","Hombres","14 a 17",0,5,5,0.1196
"Guinea","Hungría","Hombres","14 a 17",0,10,10,0.3738
"Iraq","Hungría","Hombres","14 a 17",5,0,5,0.6989
"Kosovo","Hungría","Hombres","14 a 17",0,225,225,0.0747
"Mali","Hungría","Hombres","14 a 17",0,5,5,0.3856
"Nigeria","Hungría","Hombres","14 a 17",0,10,10,0.1414
"Pakistán","Hungría","Hombres","14 a 17",0,25,25,0.2162
"Serbia","Hungría","Hombres","14 a 17",0,15,15,0.0339
"Siria","Hungría","Hombres","14 a 17",5,10,15,0.9114
"Somalia","Hungría","Hombres","14 a 17",40,0,40,0.7586
"Turquía","Hungría","Hombres","14 a 17",0,5,5,0.2183
"Afganistán","Irlanda","Hombres","14 a 17",0,25,25,0.4123
"Albania","Irlanda","Hombres","14 a 17",0,10,10,0.0578
"Angola","Irlanda","Hombres","14 a 17",0,10,10,0.1101
"Eritrea","Irlanda","Hombres","14 a 17",0,10,10,0.7211
"Irán","Irlanda","Hombres","14 a 17",0,5,5,0.437
"Iraq","Irlanda","Hombres","14 a 17",0,15,15,0.5272
"Nigeria","Irlanda","Hombres","14 a 17",0,50,50,0.0733
"Pakistán","Irlanda","Hombres","14 a 17",0,15,15,0.117
"Rep. Dem. Congo","Irlanda","Hombres","14 a 17",0,20,20,0.1519
"Sierra Leona","Irlanda","Hombres","14 a 17",0,5,5,0.1977
"Somalia","Irlanda","Hombres","14 a 17",0,5,5,0.6015
"Uganda","Irlanda","Hombres","14 a 17",0,5,5,0.3455
"Zimbabwe","Irlanda","Hombres","14 a 17",0,5,5,0.3194
"Afganistán","Italia","Hombres","14 a 17",645,80,725,0.9534
"Albania","Italia","Hombres","14 a 17",10,0,10,0.6414
"Algeria","Italia","Hombres","14 a 17",0,20,20,0.4952
"Armenia","Italia","Hombres","14 a 17",5,0,5,0.6094
"Bangladesh","Italia","Hombres","14 a 17",155,40,195,0.6556
"Bosnia y Herzegovina","Italia","Hombres","14 a 17",10,50,60,0.3755
"Burkina Faso","Italia","Hombres","14 a 17",40,20,60,0.7801
"Chad","Italia","Hombres","14 a 17",15,10,25,0.8775
"Costa de Marfil","Italia","Hombres","14 a 17",240,130,370,0.8592
"Desconocido","Italia","Hombres","14 a 17",20,30,50,0.9037
"Egipto","Italia","Hombres","14 a 17",75,15,90,0.8501
"Eritrea","Italia","Hombres","14 a 17",110,15,125,0.9869
"Gambia","Italia","Hombres","14 a 17",380,85,465,0.7804
"Ghana","Italia","Hombres","14 a 17",145,80,225,0.7819
"Guinea","Italia","Hombres","14 a 17",90,50,140,0.8932
"Guinea-Bissau","Italia","Hombres","14 a 17",35,0,35,0.8075
"Haití","Italia","Hombres","14 a 17",5,0,5,0.7208
"Irán","Italia","Hombres","14 a 17",20,0,20,0.9577
"Iraq","Italia","Hombres","14 a 17",35,15,50,0.9702
"Kosovo","Italia","Hombres","14 a 17",10,5,15,0.5309
"Libia","Italia","Hombres","14 a 17",10,0,10,0.8883
"Macedonia","Italia","Hombres","14 a 17",0,5,5,0.0863
"Mali","Italia","Hombres","14 a 17",340,90,430,0.8979
"Montenegro","Italia","Hombres","14 a 17",0,10,10,0.1821
"Níger","Italia","Hombres","14 a 17",20,10,30,0.8408
"Nigeria","Italia","Hombres","14 a 17",120,125,245,0.6977
"Pakistán","Italia","Hombres","14 a 17",110,30,140,0.7945
"Palestina","Italia","Hombres","14 a 17",10,10,20,0.9748
"Rep. Dem. Congo","Italia","Hombres","14 a 17",5,0,5,0.8394
"Senegal","Italia","Hombres","14 a 17",145,25,170,0.8013
"Serbia","Italia","Hombres","14 a 17",15,25,40,0.3299
"Sierra Leona","Italia","Hombres","14 a 17",5,0,5,0.8779
"Siria","Italia","Hombres","14 a 17",10,15,25,0.9931
"Somalia","Italia","Hombres","14 a 17",280,45,325,0.9778
"Sudán","Italia","Hombres","14 a 17",20,0,20,0.9527
"Togo","Italia","Hombres","14 a 17",20,20,40,0.8186
"Túnez","Italia","Hombres","14 a 17",30,40,70,0.3848
"Turquía","Italia","Hombres","14 a 17",75,45,120,0.7965
"Afganistán","Letonia","Hombres","14 a 17",5,0,5,0.6442
"Afganistán","Lituania","Hombres","14 a 17",10,0,10,0.8707
"Afganistán","Luxemburgo","Hombres","14 a 17",5,5,10,0.6494
"Albania","Luxemburgo","Hombres","14 a 17",0,20,20,0.1393
"Bosnia y Herzegovina","Luxemburgo","Hombres","14 a 17",0,15,15,0.0516
"Iraq","Luxemburgo","Hombres","14 a 17",0,5,5,0.7464
"Kosovo","Luxemburgo","Hombres","14 a 17",0,25,25,0.0929
"Macedonia","Luxemburgo","Hombres","14 a 17",0,20,20,0.0085
"Marruecos","Luxemburgo","Hombres","14 a 17",0,5,5,0.1106
"Montenegro","Luxemburgo","Hombres","14 a 17",0,15,15,0.0197
"Serbia","Luxemburgo","Hombres","14 a 17",5,45,50,0.0426
